Platform,Product_Type,Scenario,List_Price,Buyer_Shipping_Charged,Printify_Product_Cost,Printify_Shipping_Cost,Ad_Rate,Marketplace_Percent_Fee,Fixed_Fees,Gross_Revenue,Estimated_Fees,Estimated_Profit,Profit_Margin_On_Gross,Notes
Etsy,Acrylic,Buyer_Pays_Printify_Shipping,89.99,15.99,35.43,15.99,0.05,0.095,0.45,105.98,15.82,38.74,0.3656,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
Etsy,Acrylic,Free_Shipping_Embedded,89.99,0.0,35.43,15.99,0.02,0.095,0.45,89.99,10.8,27.77,0.3086,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
Etsy,Acrylic,Free_Shipping_Embedded,89.99,0.0,35.43,15.99,0.05,0.095,0.45,89.99,13.5,25.07,0.2786,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
eBay,Acrylic,Buyer_Pays_Printify_Shipping,94.99,15.99,35.43,15.99,0.02,0.136,0.4,110.98,17.71,41.85,0.3771,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
eBay,Acrylic,Buyer_Pays_Printify_Shipping,94.99,15.99,35.43,15.99,0.05,0.136,0.4,110.98,21.04,38.52,0.3471,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
eBay,Acrylic,Free_Shipping_Embedded,94.99,0.0,35.43,15.99,0.02,0.136,0.4,94.99,15.22,28.35,0.2985,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
eBay,Acrylic,Free_Shipping_Embedded,94.99,0.0,35.43,15.99,0.05,0.136,0.4,94.99,18.07,25.5,0.2685,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping.
Etsy,Acrylic,Buyer_Pays_Printify_Shipping,94.99,15.99,35.43,15.99,0.02,0.095,0.45,110.98,13.21,46.35,0.4176,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
Etsy,Acrylic,Buyer_Pays_Printify_Shipping,94.99,15.99,35.43,15.99,0.05,0.095,0.45,110.98,16.54,43.02,0.3876,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
Etsy,Acrylic,Free_Shipping_Embedded,94.99,0.0,35.43,15.99,0.02,0.095,0.45,94.99,11.37,32.2,0.3389,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
Etsy,Acrylic,Free_Shipping_Embedded,94.99,0.0,35.43,15.99,0.05,0.095,0.45,94.99,14.22,29.35,0.3089,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. User-provided Printify estimate: acrylic production $35.43 plus $15.99 shipping."
